author|0|body_xml
iabbliz|2013/02/27 07:09:47|в итоге скорей всего ко мне прийдет=) но сейчас да это наверно не ко мне
iabbliz|2013/02/27 07:09:59|причем по п.2 я сразу Эльвире сказал что такое будет
iabbliz|2013/02/27 07:10:12|по п.3 никахи доп условий на колонку руч. скидки не давали
iabbliz|2013/02/27 07:10:15|сказали запретить и все
iabbliz|2013/02/27 07:10:17|=)
elmirkinskij|2013/02/27 07:10:33|это по тз 12
elmirkinskij|2013/02/27 07:10:37|не к тебе наверно<ss type="smile">:)</ss>
iabbliz|2013/02/27 07:10:45|ок
iabbliz|2013/02/27 07:10:45|=)
iabbliz|2013/02/27 07:11:02|обновила?
elmirkinskij|2013/03/01 04:57:14|Привет, Ты не в конфигураторе круг модели?<ss type="smile">:)</ss>
iabbliz|2013/03/01 04:57:28|Привет, это не я
iabbliz|2013/03/01 04:57:29|=)
iabbliz|2013/03/01 04:57:35|чорт не успел=)
elmirkinskij|2013/03/01 04:57:50|и я чорт не успела)
elmirkinskij|2013/03/01 05:17:22|А ты умеешь создавать базы серверные?
iabbliz|2013/03/01 05:18:03|добавить на SQL прописать в Сервере 1с?
elmirkinskij|2013/03/01 05:18:27|Наверно<ss type="smile">:)</ss> я не умею. Это долго? можешь показать?
iabbliz|2013/03/01 05:18:31|умею
iabbliz|2013/03/01 05:18:37|нет не долго
iabbliz|2013/03/01 05:18:53|где показывать?
elmirkinskij|2013/03/01 05:18:55|давай я подключу тебя, покажешь?
iabbliz|2013/03/01 05:18:58|у нас на серваке?
elmirkinskij|2013/03/01 05:19:01|да
iabbliz|2013/03/01 05:19:11|по рукам никто нам не надает?
elmirkinskij|2013/03/01 05:19:16|teamviewer ammy?
iabbliz|2013/03/01 05:19:25|лучше Team
elmirkinskij|2013/03/01 05:19:27|нет, не надает<ss type="smile">:)</ss> мне дали такое задание<ss type="smile">:)</ss>
iabbliz|2013/03/01 05:19:29|ами не ставил еще
iabbliz|2013/03/01 05:19:31|давай
iabbliz|2013/03/01 05:19:42|давай лучше еще по скайпу позвоню
iabbliz|2013/03/01 05:19:45|буду говорить а ты делать
elmirkinskij|2013/03/01 05:19:46|786 265 616
elmirkinskij|2013/03/01 05:19:47|1564
elmirkinskij|2013/03/01 05:19:52|давай
iabbliz|2013/03/01 05:22:09|
<quote author="sapervodichka" authorname="Dmitry Malyshev" conversation="sapervodichka" guid="x4db3fccda60729cd713503d78fe33cdde8ac56c8f97785d17902c32b633de8c7" timestamp="1360663240"><legacyquote>[12.02.2013 14:00:40] Dmitry Malyshev: </legacyquote>razdolie2012<legacyquote>

&lt;&lt;&lt; </legacyquote></quote>
elmirkinskij|2013/03/06 09:11:55|Администратор круга Виктор: &quot;Через программу &quot;Подключение к удалённому рабочему столу&quot; подключаетесь на адрес 212.24.60.132:44445, пароль для входа 111 логин user, попадаете сразу в 1с, там одна база)&quot;
elmirkinskij|2013/03/06 09:12:04|привет, это мне зачем?
iabbliz|2013/03/06 09:12:56|Сказали всем скинуть, может тебе и не надо было.
elmirkinskij|2013/03/06 09:13:20|а что я хуже всех что ли?<ss type="smile">:)</ss>
elmirkinskij|2013/03/06 09:13:21|ок<ss type="smile">:)</ss>
iabbliz|2013/03/06 09:17:39|=)
iabbliz|2013/03/11 05:30:22|Привет
elmirkinskij|2013/03/11 05:30:36|привет
iabbliz|2013/03/11 05:31:05|Евгений зотов, пишет что при обновлении Цандера, потерялись предопределенные элементы
iabbliz|2013/03/11 05:31:09|видимо твои изменения
iabbliz|2013/03/11 05:31:19|по ограничению доступа
elmirkinskij|2013/03/11 05:31:35|<ss type="dull">|-(</ss>
iabbliz|2013/03/11 05:31:49|скорее всего дело в том
elmirkinskij|2013/03/11 05:31:50|Он уже раз третий их затирает....
iabbliz|2013/03/11 05:31:57|что несколько людей вносили изменения
iabbliz|2013/03/11 05:32:02|до обновления базы
iabbliz|2013/03/11 05:32:12|сначала ты внесла свои предопределенные эл-ты
iabbliz|2013/03/11 05:32:15|потом я внес
iabbliz|2013/03/11 05:32:34|соотвественно мои остались...
iabbliz|2013/03/11 05:32:41|твоих похоже нет
elmirkinskij|2013/03/11 05:33:02|Ты в спецнастройки что-то добавлял?
iabbliz|2013/03/11 05:33:05|да
iabbliz|2013/03/11 05:33:16|для Вида расчета 4 предопределенных эл-та
elmirkinskij|2013/03/11 05:34:12|Там точно только предопределенные стерлись? или он снова и код весь затер?
iabbliz|2013/03/11 05:34:53|если и затер, то скорее всего я, но думаю там потерялись только предопределенные эл-ты
iabbliz|2013/03/11 05:35:10|т.к. изменения в Коде должны были нормально показыватся
elmirkinskij|2013/03/11 05:35:16|ок, я посмотрю. Там кто-то сидит под Малышевым, не могу зайти..ты?
iabbliz|2013/03/11 05:35:25|и плюс мне надо было изменить только  предопределенные эл-ты
iabbliz|2013/03/11 05:35:36|на терминале?
elmirkinskij|2013/03/11 05:35:39|да
iabbliz|2013/03/11 05:35:40|да, сейчас выйду
iabbliz|2013/03/11 05:35:47|вышел
elmirkinskij|2013/03/13 07:07:24|Привет, можешь отпустить на минуту общий?
iabbliz|2013/03/13 07:07:57|да
iabbliz|2013/03/13 07:08:53|отпустил
elmirkinskij|2013/03/13 07:11:49|отпустила
elmirkinskij|2013/03/13 07:11:52|спасибо
iabbliz|2013/03/13 09:25:45|Привет
iabbliz|2013/03/13 09:25:47|еще раз
iabbliz|2013/03/13 09:25:52|Сервер у тебя доступен?
iabbliz|2013/03/13 09:26:02|mighty который
elmirkinskij|2013/03/13 09:26:32|нет
iabbliz|2013/03/14 11:00:17|Привет
iabbliz|2013/03/14 11:00:20|Общий нужен?
iabbliz|2013/03/14 11:00:24|=)
elmirkinskij|2013/03/14 11:00:41|Привет, да, ненадолго
iabbliz|2013/03/14 11:00:52|напишешь когда не нужен будет
elmirkinskij|2013/03/14 11:00:59|ок
iabbliz|2013/03/14 11:01:01|спс
elmirkinskij|2013/03/14 11:32:12|отпустила
iabbliz|2013/03/14 11:32:47|еху, спасибо
iabbliz|2013/03/14 11:33:49|Слушай можешь попрбовать обновить КругМодел
iabbliz|2013/03/14 11:33:58|а то у меня почему то подвисает и все...
elmirkinskij|2013/03/14 11:34:18|Просто майтисервер тупит
elmirkinskij|2013/03/14 11:34:26|там много пользоватлей видимо
elmirkinskij|2013/03/14 11:34:35|сейчас попробую
elmirkinskij|2013/03/14 12:02:09|из хранилища обновила, но в самой базе долго принимаются изменения
iabbliz|2013/03/14 12:02:38|кругмодел обновился?
elmirkinskij|2013/03/14 12:02:57|сама база еще не приняла изменения
elmirkinskij|2013/03/14 12:02:59|думает
iabbliz|2013/03/14 12:03:05|дык у меня также было
iabbliz|2013/03/14 12:03:12|у меня не раздумалась
iabbliz|2013/03/14 12:03:14|30 мин да
elmirkinskij|2013/03/14 12:03:17|ну пусть думает, не буду трогать
iabbliz|2013/03/14 12:03:18|ждал 2 раза
iabbliz|2013/03/14 12:03:26|ок
iabbliz|2013/03/14 12:27:10|пациент жив?
elmirkinskij|2013/03/14 12:28:00|неа, это майтисервер виноват. Я даже отчет &quot;Отчет о затратах времени сотрудника&quot; уже полчаса жду
elmirkinskij|2013/03/14 12:58:19|Всё, сервер не работает, можно не ждать.
iabbliz|2013/03/14 13:00:31|=)
elmirkinskij|2013/03/14 13:00:46|ты рад?)
iabbliz|2013/03/14 13:00:52|нет=)
iabbliz|2013/03/14 13:13:29|у тебя заходит?
iabbliz|2013/03/14 13:13:35|ясно уже не заходит
elmirkinskij|2013/03/19 10:51:30|Привет, есть в базе раздолье в цандере что-то, чего нет в финанс?
elmirkinskij|2013/03/19 10:51:33|ты вносил?
iabbliz|2013/03/19 10:51:57|Привет
iabbliz|2013/03/19 10:51:59|не знаю=)
iabbliz|2013/03/19 10:52:08|если я то подписано должно быть
elmirkinskij|2013/03/19 10:52:47|в смысле, если ты чего-то вносил, и этого нет в рабочей, то мы сравниваем и объединяем с рабочей конфой. Иначе просто загружаем
iabbliz|2013/03/19 10:53:28|я не помню, но если что то нужное было, я сразу заливал в раб. конфу
iabbliz|2013/03/19 10:53:37|т.е. раздолье можно обновлять
elmirkinskij|2013/03/19 10:53:49|ок
iabbliz|2013/03/21 05:42:52|Привет
elmirkinskij|2013/03/21 05:43:28|привет
iabbliz|2013/03/21 05:43:55|Вера попросила меня, отдать часть задач по ошибкам Круга, пока делаю ТЗ
iabbliz|2013/03/21 05:44:03|у тебя как с загрузкой?
elmirkinskij|2013/03/21 05:44:22|пока загружена
iabbliz|2013/03/21 07:32:57|Напиши когда будет время поделать задачи
elmirkinskij|2013/03/21 07:33:16|ок
elmirkinskij|2013/03/22 06:52:03|<quote author="iabbliz" authorname="Антон Иванов" conversation="iabbliz" guid="x92113dd7ac0bf6a3b82e523715e59234f4e910ef05e7d58d6ed1c8b75ae79b4b" timestamp="1363851133"><legacyquote>[21.03.2013 11:32:13] Антон Иванов: </legacyquote>Напиши когда будет время поделать задачи<legacyquote>

&lt;&lt;&lt; </legacyquote></quote>пишу, есть лишние задачи?
iabbliz|2013/03/22 06:52:23|да
iabbliz|2013/03/22 06:52:31|тааак
iabbliz|2013/03/22 06:52:36|ща письмо пришлю
iabbliz|2013/03/22 06:52:45|у тебя ВПН к кругу не настроен?
elmirkinskij|2013/03/22 06:52:48|самые дурацкие не присылай<ss type="smile">:)</ss>
elmirkinskij|2013/03/22 06:52:55|нет, не настроен
iabbliz|2013/03/22 06:55:41|позвонить можно?
iabbliz|2013/03/22 06:56:22|2 письма скинул
iabbliz|2013/03/22 06:56:32|сначала надо настроить впн соединение
iabbliz|2013/03/22 06:56:39|потом дальше расскажу
elmirkinskij|2013/03/22 06:56:54|звони
elmirkinskij|2013/03/22 07:07:39|я настроила vpn, а что дальше делать?
iabbliz|2013/03/22 07:08:00|все подключилось нормально?
elmirkinskij|2013/03/22 07:08:21|да, как зайти к ним теперь?
iabbliz|2013/03/22 07:08:24|<a href="\\192.168.10.6\It1c">\\192.168.10.6\It1c</a>
iabbliz|2013/03/22 07:08:45|скопируй путь
iabbliz|2013/03/22 07:08:54|в проводник или в компьютере
iabbliz|2013/03/22 07:09:08|там где сверху путь
iabbliz|2013/03/22 07:09:10|вставь
iabbliz|2013/03/22 07:09:24|BugsTracking_Actual файлик
iabbliz|2013/03/22 07:09:30|лучше скопируй его себе на комп
iabbliz|2013/03/22 07:09:34|чтобы его не занимать
iabbliz|2013/03/22 07:09:38|пока смотреть будешь
iabbliz|2013/03/22 07:10:25|получилось?
elmirkinskij|2013/03/22 07:11:13|нет, я видимо неправильно делаю. Ввела это в проводник, дальше он у меня запрашивает пароль
iabbliz|2013/03/22 07:11:42|все по пунктам сделала в файле?
iabbliz|2013/03/22 07:11:46|проверь еще раз
elmirkinskij|2013/03/22 07:12:01|в файле да, и подключилась
elmirkinskij|2013/03/22 07:12:08|<quote author="iabbliz" authorname="Антон Иванов" conversation="iabbliz" guid="xa497c79ff21495ce73bf4fc0cadc51ede594491440314ba30134a901d81bcde5" timestamp="1363936065"><legacyquote>[11:07:45] Антон Иванов: </legacyquote><a href="\\192.168.10.6\It1c">\\192.168.10.6\It1c</a>
скопируй путь
в проводник или в компьютере<legacyquote>

&lt;&lt;&lt; </legacyquote></quote>
elmirkinskij|2013/03/22 07:12:12|скопировала
elmirkinskij|2013/03/22 07:12:16|и просит пароль
elmirkinskij|2013/03/22 07:12:57|<files alt="sent file &quot;IMG_22032013_111226.png&quot;">
<file size="134518" index="0">IMG_22032013_111226.png</file></files>
iabbliz|2013/03/22 07:12:59|Мы сделали для вас доступ в нашу систему.
 Логин - vpn1c
 Пароль – 28r67fW26y5A
 Домен – krukro
iabbliz|2013/03/22 07:13:13|в письме там еще написано было
elmirkinskij|2013/03/22 07:13:28|<quote author="iabbliz" authorname="Антон Иванов" conversation="iabbliz" guid="xe65f4386b9c359d315e4d92df9f207e80e47e85134bd83f7b6e87baccf5a726a" timestamp="1363936348"><legacyquote>[11:12:28] Антон Иванов: </legacyquote>Логин - vpn1c
 Пароль – 28r67fW26y5A<legacyquote>

&lt;&lt;&lt; </legacyquote></quote>это я ввела при подключении
elmirkinskij|2013/03/22 07:13:42|дальше удаленное подключение нужно сделать? как к терминалу?
iabbliz|2013/03/22 07:13:46|нет
iabbliz|2013/03/22 07:14:00|давай через Тим посмотрим
