author|0|body_xml
iabbliz|2013/02/13 09:08:46|<quote author="duke-81" authorname="Денис Карякин" conversation="duke-81" guid="xbe7acacaf0e1fd66172725c6f971562f4b6b0616dc44bb5591ace4a253344cf6" timestamp="1360746507"><legacyquote>[13:08:27] Денис Карякин: </legacyquote> &quot;в данной транзакции уже происходили ошибки&quot;<legacyquote>

&lt;&lt;&lt; </legacyquote></quote>плохие ошибки
iabbliz|2013/02/13 09:09:03|имхо лучше рестарт 1с службы и MSSQL
duke-81|2013/02/13 09:10:24|)я же не могу клиенту советовать сервер перезапускать когда у них ошибки)
iabbliz|2013/02/13 09:10:53|почему?
duke-81|2013/02/13 09:11:08|ну это всё равно что сказать что 1с это кривая система
duke-81|2013/02/13 09:11:11|неуправляемая
duke-81|2013/02/13 09:11:17|которая просто ГЛЮЧИТ
iabbliz|2013/02/13 09:11:19|хорошо не говори=)
iabbliz|2013/02/13 09:11:52|средствами 1с врятли эту ошибку решить
duke-81|2013/02/13 09:12:09|это да
duke-81|2013/02/13 09:12:25|вот если бы знать как в мс скл это можно отловить и понять
iabbliz|2013/02/13 09:13:09|у тебя какой то конретный документ не проводится?
duke-81|2013/02/13 09:13:13|да
iabbliz|2013/02/13 09:13:17|вид?
duke-81|2013/02/13 09:13:19|РТУ
iabbliz|2013/02/13 09:13:23|или конкретный номер?
duke-81|2013/02/13 09:13:34|не пробовал другие
iabbliz|2013/02/13 09:13:37|попробуй
iabbliz|2013/02/13 09:13:42|может дело в одном документе
iabbliz|2013/02/13 09:13:43|если так
duke-81|2013/02/13 09:13:44|но если снимаю галочку БУ то проводится)
iabbliz|2013/02/13 09:13:49|попробуй скопировать
iabbliz|2013/02/13 09:13:50|его
iabbliz|2013/02/13 09:13:53|и провести
iabbliz|2013/02/13 10:28:37|Реиндексация средствами 1с?
iabbliz|2013/02/13 10:28:42|Пересчет итогов?
duke-81|2013/02/13 10:29:38|ну да
duke-81|2013/02/13 10:29:42|тестирование и исправление
iabbliz|2013/02/13 10:29:54|лучше бы сначала на копии такое проверил
iabbliz|2013/02/13 10:30:08|она может начатся и продолжатся очень долго в зависимости от размера базы
iabbliz|2013/02/13 10:30:18|плюс до этого ее делали?
duke-81|2013/02/13 10:30:22|уже закончилась))
iabbliz|2013/02/13 10:30:26|она нормально проходила?
duke-81|2013/02/13 10:30:26|быстро
iabbliz|2013/02/13 10:30:32|ок=)
duke-81|2013/02/13 10:30:32|уже прошла
duke-81|2013/02/13 10:30:34|минут 5
iabbliz|2013/02/13 10:30:40|размер базы?
iabbliz|2013/02/13 10:39:54|круть
iabbliz|2013/02/13 10:40:04|они по ночам работают?
duke-81|2013/02/13 10:40:10|нет
duke-81|2013/02/13 10:40:15|не должны
iabbliz|2013/02/13 10:40:15|у себя чтобы таких случаев не было
iabbliz|2013/02/13 10:40:26|запускал скрипт каждое утро, рестарт обе службы
duke-81|2013/02/13 10:41:21|ну обычно такое раз в неделю делают
iabbliz|2013/02/13 10:41:51|смотря какая база
iabbliz|2013/02/13 10:41:54|сколько пользователей
iabbliz|2013/02/13 10:41:56|и т.п.
duke-81|2013/02/13 10:42:25|ну пользователей 20
duke-81|2013/02/13 10:42:30|с начала года работают
iabbliz|2013/02/14 06:41:57|Привет
iabbliz|2013/02/14 06:42:26|Добро=)
duke-81|2013/02/14 06:42:41|вижу свои надписи) про присвоении штрих кода)
iabbliz|2013/02/14 06:43:07|почему?=)
iabbliz|2013/02/14 06:43:17|думал что я шашкой все смету?=)
duke-81|2013/02/14 06:43:23|ну давно это всё было)
duke-81|2013/02/14 06:43:29|могло всё измениться)
iabbliz|2013/05/09 04:48:02|привет, у тебя сервер работает?
duke-81|2013/05/09 07:59:56|неа
duke-81|2013/05/09 08:00:03|еще вчера не работал
iabbliz|2013/05/14 10:45:16|Привет
duke-81|2013/05/14 10:45:24|говорят есть файл какойто с недоработками)
duke-81|2013/05/14 10:45:31|и только ты знаешь к нему путь
duke-81|2013/05/14 10:45:33|речь про круг
iabbliz|2013/05/14 10:46:45|лови письмо
iabbliz|2013/05/14 10:46:48|там ВПН надо настроить
duke-81|2013/05/14 10:47:31|хм
iabbliz|2013/05/14 10:49:36|как настроешь будет доступен адрес
iabbliz|2013/05/14 10:49:36|<a href="\\192.168.10.6\It1c">\\192.168.10.6\It1c</a>
iabbliz|2013/05/14 10:49:39|там есть файл
iabbliz|2013/05/14 10:50:11|BugsTracking_Actual.xlsx
iabbliz|2013/05/14 10:50:22|как откроешь раскажу дальше
iabbliz|2013/05/14 10:51:43|Лист Bugtracking
iabbliz|2013/05/14 10:52:16|надо выставить фильтры
Отвественный: Раздолье
Решение = &quot;К исправл&quot;
iabbliz|2013/05/14 10:52:24|Дата = пуста
iabbliz|2013/05/14 10:52:32|Закрыт=пусто
iabbliz|2013/05/14 10:52:44|остальные колонки должны быть без отборов
iabbliz|2013/05/14 10:53:54|останутся те ошибки которые надо исправлять
iabbliz|2013/05/14 10:54:02|в колонке Код
iabbliz|2013/05/14 10:54:09|в зависимости от префикса
iabbliz|2013/05/14 10:54:21|надо обращатся к разным консультантам за разъяснениями
iabbliz|2013/05/14 10:54:51|НСИ, Сервис - Пасечник, 
Перенос, Склад, Произв- Юданова
