author|0|body_xml
iabbliz|2013/05/13 15:37:19|некогда было сказать
enichevmaxim|2013/05/13 15:37:24|под раздолье
enichevmaxim|2013/05/13 15:37:32|пользователь
iabbliz|2013/05/13 15:37:36|а логин?
enichevmaxim|2013/05/13 15:37:39|Раздолье
enichevmaxim|2013/05/13 15:37:50|или Максим 56767
iabbliz|2013/05/13 15:37:57|по русски?
enichevmaxim|2013/05/13 15:38:00|да
enichevmaxim|2013/05/13 15:38:09|ну в выборе есть
iabbliz|2013/05/13 15:38:18|<quote author="enichevmaxim" authorname="Еничев Максим" conversation="enichevmaxim" guid="x2368f19c8e61a8dda5f44fd5ab144389b27ccea8fb5524b2a4244d0f7a64bc29" timestamp="1368459489"><legacyquote>[19:38:09] Еничев Максим: </legacyquote>ну в выборе есть<legacyquote>

&lt;&lt;&lt; </legacyquote></quote>?
iabbliz|2013/05/13 15:38:24|в каком выборе
iabbliz|2013/05/13 15:38:29|мб про разные вещи говорим
enichevmaxim|2013/05/13 15:38:30|окошко выбора конфигурации
enichevmaxim|2013/05/13 15:38:49|)) понял, ты про связь с хранилищем?
iabbliz|2013/05/13 15:38:56|да
enichevmaxim|2013/05/13 15:39:14|ща
iabbliz|2013/05/13 15:39:22|сейчас подключаюсь
iabbliz|2013/05/13 15:39:23|по
iabbliz|2013/05/13 15:39:24|212.24.60.132:44445
iabbliz|2013/05/13 15:39:28|user 111
iabbliz|2013/05/13 15:39:46|окно с 1с не появляется синий экра
iabbliz|2013/05/13 15:39:47|н
enichevmaxim|2013/05/13 15:42:59|KrugModel_copy, 123.
Путь к хранилищу: <a href="http://demo.razdolie.ru:8080/storage/repository.1ccr/Krug">http://demo.razdolie.ru:8080/storage/repository.1ccr/Krug</a>.
iabbliz|2013/05/13 15:43:27|не за это я=)
iabbliz|2013/05/13 15:43:41|что то не подключается по
iabbliz|2013/05/13 15:43:44|<quote author="iabbliz" authorname="Антон Иванов" conversation="enichevmaxim" guid="xd529c342363748e32c4223c519d45980b3bad0309bc2a19b6559ef8051bff23d" timestamp="1368459564"><legacyquote>[19:39:24] Антон Иванов: </legacyquote>212.24.60.132:44445
user 111<legacyquote>

&lt;&lt;&lt; </legacyquote></quote>
enichevmaxim|2013/05/13 15:43:53|а что это за IP/
enichevmaxim|2013/05/13 15:43:55|?
enichevmaxim|2013/05/13 15:44:11|нам просто его не давали не разу..)))
iabbliz|2013/05/13 15:44:11|ну раньше по нему заходил чтобы тестовую базу обновить
iabbliz|2013/05/13 15:44:13|=))))
enichevmaxim|2013/05/13 15:45:02|давай я тебе письмо перешлю чтобы было
enichevmaxim|2013/05/13 15:46:07|выслал
enichevmaxim|2013/05/13 15:58:39|что мне настроить чтобы мог контрагента открыть?
enichevmaxim|2013/05/13 15:58:52|я смотрю это твои функции..
iabbliz|2013/05/13 16:03:17|сек, а у тебя ограничение на уровне записи включено сейчас?
iabbliz|2013/05/13 16:03:30|Полные права доступны?
iabbliz|2013/05/13 16:04:36|сек гляну
iabbliz|2013/05/13 16:06:36|давай подправлю
enichevmaxim|2013/05/13 16:13:21|мне отпустить контрагентов?
iabbliz|2013/05/13 16:13:25|<quote author="enichevmaxim" authorname="Еничев Максим" conversation="enichevmaxim" guid="xc81c75ad1786bb42558ad2f90ae3503d273c4a725d62af3c4d492d294d5a39a2" timestamp="1368461590"><legacyquote>[20:13:10] Еничев Максим: </legacyquote>не вопрос..

П.с. я создаю новое юр лицо - но не знаю где заполнить организацию для доступа<legacyquote>

&lt;&lt;&lt; </legacyquote></quote>погоди
iabbliz|2013/05/13 16:13:35|обнови из хранилища
iabbliz|2013/05/13 16:13:38|и еще раз попробуй
enichevmaxim|2013/05/13 16:13:53|оке..
я ща на совещание с Верой
через полчасика проверю..
enichevmaxim|2013/05/13 16:15:59|обновил, теперь пытаюсь юр лицо записать - &quot;Поле &quot;Организация&quot; не заполнено&quot;, и я не знаю где его проставить для юр лица..Покупатель Поставщик..
enichevmaxim|2013/05/13 16:16:09|ушел на совещание
iabbliz|2013/05/13 16:16:19|<quote author="enichevmaxim" authorname="Еничев Максим" conversation="enichevmaxim" guid="x69253998ddefac31147e1674280285b5a97b2dc4e4880c8e393381130d676776" timestamp="1368461759"><legacyquote>[20:15:59] Еничев Максим: </legacyquote>обновил, теперь пытаюсь юр лицо записать - &quot;Поле &quot;Организация&quot; не заполнено&quot;, и я не знаю где его проставить для юр лица..Покупатель Поставщик..<legacyquote>

&lt;&lt;&lt; </legacyquote></quote>на 1 закладке
iabbliz|2013/05/13 16:16:47|Общие
enichevmaxim|2013/05/13 16:18:24|заработало, спасибо
iabbliz|2013/05/14 07:37:56|Привет
enichevmaxim|2013/05/14 07:38:08|у нас после вчерашнего обновления не запиысвается ничего на учебной базе..<ss type="smile">:)</ss>
iabbliz|2013/05/14 07:38:17|что пишет
iabbliz|2013/05/14 07:38:26|ошибка выскакивает?
enichevmaxim|2013/05/14 07:40:01|Вроде Андрей с тобой связывается.. сказал отрубить все..<ss type="smile">:)</ss>
enichevmaxim|2013/05/14 07:40:31|я все отключил на учебном
enichevmaxim|2013/05/14 07:40:37|но вроде кк много чего не записывается
iabbliz|2013/05/14 07:43:44|сейчас в базе кто то сидит?
enichevmaxim|2013/05/14 07:44:03|там сервак тупит
enichevmaxim|2013/05/14 07:44:18|точнее комп..)))
enichevmaxim|2013/05/14 07:44:25|ща ребутнем его
enichevmaxim|2013/05/14 07:44:30|так быстрее будет
iabbliz|2013/05/14 07:44:45|ок.
iabbliz|2013/05/14 07:46:05|напиши когда ребутнется.
iabbliz|2013/05/14 07:46:08|пожалуйста
enichevmaxim|2013/05/14 07:46:17|оке
enichevmaxim|2013/05/14 07:47:55|работает
iabbliz|2013/05/14 09:09:21|Максим ты тут?
enichevmaxim|2013/05/14 09:09:26|да
iabbliz|2013/05/14 09:09:33|Мне Вера Пикурен сказала как появится интернет
iabbliz|2013/05/14 09:09:39|<quote author="vera.pikuren" authorname="vera.pikuren" conversation="vera.pikuren" guid="xb438194e70fa91cef0547a58a1c73909c2ab6c7645578f1d4395dd6154098dc8" timestamp="1368520303"><legacyquote>[12:31:43] vera.pikuren: </legacyquote>Антон, я через 30 минут уезжаю в аэропорт. Тогда как у нас появится интернет (тебе ЕГ напишет) ты напиши Андрею или Максиму, чтобы инициировать откат хранилища<legacyquote>

&lt;&lt;&lt; </legacyquote></quote>
enichevmaxim|2013/05/14 09:10:01|появился?
iabbliz|2013/05/14 09:10:03|вооот... надо ли откатыватся? если надо то на какую дату
iabbliz|2013/05/14 09:10:05|да появился
enichevmaxim|2013/05/14 09:10:14|ща момент
enichevmaxim|2013/05/14 09:11:24|а на обучательном сервере вроде ты настроил или сделал что то - там пока все работает
enichevmaxim|2013/05/14 09:11:33|лучше не трогать)))
iabbliz|2013/05/14 09:11:38|<quote author="enichevmaxim" authorname="Еничев Максим" conversation="enichevmaxim" guid="x3c80def325f47def063a6fba8bfb8366c88f6c5b7ea299b9cb96fcae6a6caf63" timestamp="1368522684"><legacyquote>[13:11:24] Еничев Максим: </legacyquote>а на обучательном сервере вроде ты настроил или сделал что то - там пока все работает<legacyquote>

&lt;&lt;&lt; </legacyquote></quote>ничего не делал=)
iabbliz|2013/05/14 09:11:42|ну кроме того что ты ребутнул
enichevmaxim|2013/05/14 09:11:57|MgnoM 13:05 
у раздолья
откатывать на вчера?

Taras 13:05 
нет


MgnoM 13:05 
уже норм все?

Taras 13:05 
ну там чтото Эльвире сделали


Taras 13:06 
ну я надеюсь они до завтра косяки уберут
справочники можно показать и с ошибками
enichevmaxim|2013/05/14 09:12:05|вот как то так
iabbliz|2013/05/14 09:12:53|ок.
iabbliz|2013/05/14 11:35:17|Максим, Вера Пикурен попросила откатить
iabbliz|2013/05/14 11:35:25|базу на определенную дату
iabbliz|2013/05/14 11:35:47|&quot;По времени начала работы по откату надо выяснить у Андрея&quot;
iabbliz|2013/05/14 11:38:29|Максим а можешь меня выкинуть из конфигуратора на тестовой базе
iabbliz|2013/05/14 11:38:40|т.к. уже час точно вишу на подключении к хранилищу
iabbliz|2013/05/14 11:49:36|что то на логине в Windows висит
iabbliz|2013/05/14 11:50:42|Вера Пикурен: &quot;Ошибки до завтра мы исправаить не сможем. А откатить - да&quot;
iabbliz|2013/05/14 11:50:55|что то чувствую себя между двух огней=)
iabbliz|2013/05/14 11:51:17|буду откатывать &quot;Откат конфигурации до состояния 06.05&quot;
iabbliz|2013/05/14 12:02:22|<quote author="iabbliz" authorname="Антон Иванов" conversation="enichevmaxim" guid="xb5d8eb8c155008e596694c0b86a4e716b8d87994c2a0b21c1309ac197243702e" timestamp="1368532176"><legacyquote>[15:49:36] Антон Иванов: </legacyquote>что то на логине в Windows висит<legacyquote>

&lt;&lt;&lt; </legacyquote></quote>так и не могу зайти
iabbliz|2013/05/14 12:02:30|Админ что то не отвечает в аське
enichevmaxim|2013/05/14 12:30:07|логин windows?
enichevmaxim|2013/05/14 12:30:14|п.с. там щас обучение впринципе идет
enichevmaxim|2013/05/14 12:30:25|может ближе к 6-ти откатить?
enichevmaxim|2013/05/14 12:30:31|чтоб никто не мешал
iabbliz|2013/05/14 12:34:18|ок ближе к 6
iabbliz|2013/05/14 12:34:36|<quote author="enichevmaxim" authorname="Еничев Максим" conversation="enichevmaxim" guid="x20aeae65dc7fdf3da2e6c3e9bfff2e2dd2f51e5368507baa9adb8f644571a0fb" timestamp="1368534589"><legacyquote>[16:29:49] Еничев Максим: </legacyquote>Taras 16:22 
вся инфа у Веры<legacyquote>

&lt;&lt;&lt; </legacyquote></quote>
iabbliz|2013/05/14 12:34:41|
iabbliz|2013/05/14 12:34:58|осталось найти Веру
enichevmaxim|2013/05/14 12:38:09|она в самолете вроде..

но я тоже не могу ответ да или нет дать
iabbliz|2013/05/14 13:03:50|Максим до 6 часов отпустишь захваченные объекты?
enichevmaxim|2013/05/14 13:05:30|да..
П.с. я их вчера захватил. хотел сутреца отпустить.. но связи не было
enichevmaxim|2013/05/14 13:05:38|а ща на обучении..<ss type="smile">:)</ss>
enichevmaxim|2013/05/14 13:05:42|приду - отпущу
iabbliz|2013/05/14 13:05:57|ок, спс
iabbliz|2013/05/14 14:09:53|отпустишь объекты?
enichevmaxim|2013/05/14 14:11:32|о, точно!
enichevmaxim|2013/05/14 14:11:33|<ss type="smile">:)</ss>
enichevmaxim|2013/05/14 14:11:38|все
iabbliz|2013/05/14 14:12:18|все
enichevmaxim|2013/05/14 14:14:07|список контрагетов отпустил
enichevmaxim|2013/05/14 14:14:23|ща проверю как работает контактное лицо
enichevmaxim|2013/05/14 14:19:25|все отпустил
когда можно будет захватывать назад?
enichevmaxim|2013/05/14 14:19:26|<ss type="smile">:)</ss>
iabbliz|2013/05/14 14:19:45|напишу=) надеюсь что скоро
enichevmaxim|2013/05/14 14:21:40|<ss type="smile">:)</ss> оке
iabbliz|2013/05/14 15:51:47|готов
iabbliz|2013/05/14 15:51:48|готово
iabbliz|2013/05/18 10:36:21|Привет
iabbliz|2013/05/18 10:36:23|хорошо
enichevmaxim|2013/05/18 11:03:33|там все ошибки отображаются..
iabbliz|2013/05/18 11:05:05|Отдали денису карякину он смотрит.
enichevmaxim|2013/05/18 11:07:11|оке
iabbliz|2013/05/27 05:32:17|Привет
iabbliz|2013/05/27 05:32:24|в Круге осн. база конфигуратор ты?
enichevmaxim|2013/05/27 05:46:38|да,я..<ss type="smile">:)</ss>
enichevmaxim|2013/05/27 05:46:42|вышел
iabbliz|2013/05/27 05:46:44|пустишь посидеть?=)
enichevmaxim|2013/05/27 05:46:48|не ворпос..))
enichevmaxim|2013/05/27 05:46:54|уже
iabbliz|2013/05/27 05:47:02|спасибо
enichevmaxim|2013/05/27 05:47:16|ты уже уехал?.. или тут у нас?
iabbliz|2013/05/27 05:47:23|уехал=)
iabbliz|2013/05/27 05:47:25|уже у себя
enichevmaxim|2013/05/27 05:47:54|<ss type="smile">:)</ss> понял..
iabbliz|2013/05/27 06:11:29|Макс, слушай есть ошибка видимо в правах
iabbliz|2013/05/27 06:11:41|но понять на какой объект не хватает прав не получается
iabbliz|2013/05/27 06:11:50|ошибка на правах вот здесь
iabbliz|2013/05/27 06:12:01|&quot;Ошибки под пользователем Яицкова:
При перепроведении ПКО S-000001685 от 21.05.2013
{ОбщийМодуль.кругРассылки.Модуль(1646)}: Ошибка при вызове метода контекста (Выполнить)
ТЗ = Запрос.Выполнить().Выгрузить();&quot;
iabbliz|2013/05/27 06:12:46|на выбираемые объекты у нее права есть.
Чтобы понять на чем именно ошибка, надо бы изменить запрос.
enichevmaxim|2013/05/27 06:13:39|на РАЗРЕШЕННЫЕ?
iabbliz|2013/05/27 06:13:47|ну там это уже стоит
iabbliz|2013/05/27 06:13:50|это не помогает
iabbliz|2013/05/27 06:13:56|видимо в левом соединении дело
iabbliz|2013/05/27 06:14:05|там же нету Разрешенные
iabbliz|2013/05/27 06:14:15|и возможно на какой то реквизит ТЧ нет прав
iabbliz|2013/05/27 06:14:21|ссылочный реквизит
iabbliz|2013/05/27 06:14:26|это только предположение.
iabbliz|2013/05/27 06:14:53|вот это и хотел=)
iabbliz|2013/05/27 06:15:08|чтобы вначале выбрались данные ТЧ, только нужные реквизиты для этого объекта
iabbliz|2013/05/27 06:15:12|а потом уже соединить
iabbliz|2013/05/27 07:24:04|только хотел тебе писать
iabbliz|2013/05/27 07:24:08|=)
enichevmaxim|2013/05/27 07:24:12|<ss type="smile">:)</ss>
iabbliz|2013/05/27 07:24:15|что то подтупливает
iabbliz|2013/05/27 07:24:22|когда будешь ребутить?
enichevmaxim|2013/05/27 07:24:30|мин через 10
enichevmaxim|2013/05/27 07:24:34|ща предупрежу всех
iabbliz|2013/05/27 07:24:42|ок
iabbliz|2013/05/27 07:27:22|пока вышел, жду когда напишешь.
enichevmaxim|2013/05/27 07:27:42|аха
enichevmaxim|2013/05/27 07:27:49|ну ещё 3 минуты вприцнипе..
iabbliz|2013/05/27 07:28:07|за 3 минуты многое можно успеть согласен=)
iabbliz|2013/05/27 07:28:17|но что то нехочу испытывать хранилище на прочность)
enichevmaxim|2013/05/27 07:28:43|)))
iabbliz|2013/05/27 07:37:09|автообновление отключили?=)
enichevmaxim|2013/05/27 07:37:31|автообновление от чего?
iabbliz|2013/05/27 07:37:40|Windows обновление
iabbliz|2013/05/27 07:37:45|при ребуте
enichevmaxim|2013/05/27 07:38:29|а, эт да... он просто на самом деле очень долго сам по себе все завершает..
enichevmaxim|2013/05/27 07:38:39|странно..
iabbliz|2013/05/27 07:51:19|спасибо
iabbliz|2013/05/27 08:13:14|?
